story,action_code1,action_code2,action_code3
التوجه لخدمه العملاء لاستيفاء أوراق: فتح الحساب,6,,
الحضور لقسم خدمة العملاء لتحديث الب:يانات:مطلوب تحديث بيانات العميل,88,,
الرجوع الى خدمة العملاء لتحديث البي:انات :مطلوب تحديث بيانات العميلللعميل بريد مرتد,88,,
العميل  مشترك في محفظة قاهرة كاش,26,,
"العميل حاصل على بطاقة ائتمانيه بضما:ن شهاده ، عدم الاسترداد قبل مراجعة :خدمة العملاء",26,25,
العميل حاصل علي بطاقة ائتمانية بحد : 5000,1,25,
العميل حاصل علي قرض تمويل عقاري ولا: يجوز السحب من الحساب,26,32,
العميل فتح الحساب بالختم والبصمه,26,25,
العميل لدية بطاقة ائتمانية,27,25,
العميل لديه خزينة حديدية طرف فرع ال:هرم,27,,
العميل لديه خزينه مؤجرة بفرع الأقصر:,26,,
العميل له كارت ATM,10,25,
العميل متخذ ضده اجراء قضائي,10,,
العميل متخذ ضده الإجراءات القانونيه:,12,32,
العميل متوفى  اخطار بوفاه العميل م:ن خلال بيانات الشركه المصريه للاستع:لام الائتمانى iscore,12,,
العميل متوفى طبقا لتقرير الايسكور,12,,
العميل متوفى و تم الاخطار عن طريق ا:لايسكور,12,,
العميل متوفى.,12,,
العميل متوفي طبقا لتقرير iscore,12,,
العميل متوفياخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,10,,
العميل محال للشئون القضائية,10,,
العميل محول لشئون قانونيه الرجوع لقسم المشروعات,88,32,
العميل مطلوب لخدمه العملاء للتحديث ::مطلوب تحديث بيانات العميل:مطلوب تح:ديث بيانات العميل,88,,
العميل مطلوب لقسم خدمه العملاء لتحد:يث بياناته:مطلوب تحديث بيانات العمي:ل:مطلوب تحديث بيانات العميل,41,,
تجاوز جارى مدين,10,,
تم إعدام المديونية المستحقة على الع:ميل محاسبياً مع الإستمرار في الإجرا:ءات القانوينة المتخذة بتاريخ 6 12: 2020,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذة بتاريخ 122020:,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذة وفقا لقرار مجل:س الإدارة بتاريخ 31102022,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا وعدم اصداراى كشوف حسابات مع الاستمرار فى الاج:راءات القانونية,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذة وفقا لقرار مجل:س الادارة بتاريخ 82021,41,41,
تم اعدام مديونيه العميل بتاريخ 311:22019,30,,
تم منح العميل محفظه القاهره كاش تجا:ر في حاله رغبه العميل فتح حساب يلزم: استيفاء نموذج 1 ح ج,1,,
تمويل عقارى   عدم السحب,,32,
تمويل عقارىفى حال طلب العميل فتح منتج اخر يتعين على الفرع استيفاء نموذج 1ح ج: جديد,1,,
تمويل عقاري عدم السحب,26,32,
حاصل على كارت فيزا,26,25,
حاصل علي فيزا بحد 5000 جم بضمان الش:هاده,41,25,
ديون معدومة بناء على قرار مجلس الاد:ارة بتاريخ 26122019,41,,
ديون معدومه بتاريخ 16112022,41,,
ديون معدومه بتاريخ 25122018 قرار :مجلس الادارة رقم 12  2018 و المنعق:دة فى 20122018 ولا يسمح باصدار اى: افادة وعدم التعامل على الحساب الا :بموافقه ادارة التحصيل مبلغ الاعدام :ا,41,,
سداد حساب جاري مدين بضمان الراتب,,,
سرعه التوجه لخدمه العملاء مع صوره ش:هاده الرقم القومى,88,,
سن الرشد:مطلوب تحديث بيانات العميل,10,8,
ش قانونية تم اعدام المديونية المست:حقة على العميل  محاسبيا مع الاستمرا:ر فى الاجراءات القانونية المتخذة بت:اريخ 012018,10,41,
شؤون قانونيه شهر82023,10,,
عدم التعامل مع العميل والكفيل وحظر :التعامل معهم,1,32,
عدم السحب  عميل تمويل عقارى,1,32,
عدم السحب دفعه تمويل عقارى,1,32,
عدم السحب دفعه مقدمه تمويل عقارى,1,32,
عدم السحب عقد تمويل عقاري,1,32,
عدم السحب من الحساب,1,32,
عدم السحب منتج تمويل عقارى 544,1,32,
عدم السحب نهائيا من منتج تمويل عقار:ى 544,1,32,
عدم الصرف,88,32,
عدم تنفيذ اي معامله مصرفيه ماليه او: غير ماليه قبل الانتهاء من تحديث ال:بيانات,,1,32
عدم غلق الحساب الا بعد الرجوع لادار:ة ا .ماليةو الحفظ المركزى,10,,
عدم منح اى تسهيلات ائتمانيه مره اخر:ى,10,99,
عدم منح اى تسهيلات لتقديم مستندات م:زوره,26,99,
عميل VISA  المطار,10,25,
عميل خزية حديدية شئون قانونية,26,32,27
عميل ماستر المطارللعميل بريد مرتد,10,25,
عميل محال شؤن قانونية  عدم اصدار ك:شف حساب او مخالصات الا بعد الرجوع ا:لي ادارة التحصيل,41,32,
عميل معدم محاسبيا وفقا لقرار مجلس ا:لإدارة 31102022,20,,
ق ص,20,,
قروض صغيره,,,
كبار عملاء فرع السنبلاوينالموظف المختص رشا صبحى طه,1,,
لا يتم الصرف الا بقرار من النيابة ا:لحسبية,1,32,
لايتم السحب الا بقرار النيابه الحسب:يه,1,32,
لايتم الصرف او تجديد قرض الحكومه ال:ا بالرجوع الى فرع السواقى قسم المشر:وعات,,32,
للعميل بريد مرتد 092014,88,,
للعميل بريد مرتد.:مطلوب تحديث بيانات العميل,88,,
للعميل بريد مرتد:مطلوب تحديث بيانا:ت العميل,88,,
للعميل بريد مرتد:مطلوب تحديث بيانات: العميل:مطلوب تحديث بيانات العميل:M:ajor customer now,8,,
للعميل بريدمرتد:Major customer now,26,,
للعميل بطاقة 3000 جم,27,25,
للعميلة خزينة حديدية,,,
متأخرات قرض نادى برجاء قبول الايداع:ات و افادة العميل بالرجوع الى فرع ر:وكسى خدمة عملاء,26,,
مصدر بطاقة ائتمانيه,,25,
مصدر وثيقة تامين اليانز,88,,
مطلوب ارقام تليفونات,88,,
مطلوب تحديث البيانات تم التحديث و :المستندات طرف المركزيه,88,,
مطلوب تحديث البياناتاخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScor,88,12,
مطلوب تحديث البياناتاخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني,88,12,
مطلوب تحديث البياناتالعميل متوقى تم الالبلاغ عن طريق IS:CORE,88,12,
مطلوب تحديث البياناتخطار بوفاة العميل من خلال بيانات ال:شركة المصرية للاستعلام الائتماني  I:Score,88,12,
مطلوب تحديث بيانات العميل بريدمرتد,88,,
مطلوب تحديث بيانات العميل وعنوانهللعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:مطلوب :تحديث بيانات العميل,88,8,
مطلوب تحديث بيانات العميل:Major cus:tomer now:Major customer now:مطلوب :تحديث بيانات العميل:مطلوب تحديث بيا:نات العميل,88,8,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل.للعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميلإستيفاء إقرار موظفين فرع عدلى,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلللعميل بريد مرتد:Major customer now:,88,8,
مطلوب تحديث بيانات العميلبريد مرتد92013,88,,
مطلوب تحديث بيانات العميلللعميل بريد مرتدد,88,,
مطلوب تحديثه:مطلوب تحديث بيانات الع:ميل للعميل بريد مرتد,88,,
مطلوب تحديثه:مطلوب تحديث بيانات الع:ميل:Major customer now,88,8,
مطلوب صورة شهادة ميلاد,88,6,
مطلوب لتحديث البيانات:مطلوب تحديث ب:يانات العميلللعميل بريد مرتد,88,,
مطلوب لخدمة العملاء تحديث بيانات:مط:لوب تحديث بيانات العميل,12,,
نما الي علمنا وفاه العميل,27,,
يوجد خزينة حديدية,26,,
يوجد فيزا مشتريات,1,25,
1 لا يتم الصرف الا بالرجوع لفرع ال:سواقى,22,32,
car loans,26,,
Credit Card Payroll,17,25,
Customer has 3 loans so far.:,17,,
Customer has 4 loans so far.:,88,,
Major customer now:مطلوب تحديث بيان:ات العميلللعميل بريد مرتد,12,8,
اخطار بالوفاه طبقا لتقرير الايسكور,12,,
اخطار بوفاة العميل من بيانات الشركة: المصرية للاستعلام الائتمانى,12,,
اخطار بوفاة العميل من خلال الشركه ا:لمصريه للاستعلام الائتمانى Iscore,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى  : Iscore,12,,
أخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى I:Scor,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore البيانات,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصريه للاستعلام الائتمانى ا:لايسكور,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركة المصرية للأستلام الائتمانى I:Score,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الاشتمانى I:score,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I:scoure,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتماني  :,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشكه المصريه للاستعلام الائتمانى I:score,11,,
استيفاء اقرار موظفين عدلى.,6,,
استيفاء طلب القاهره كاش وارساله الي: فرع الشيخ زايد,41,28,30
اعدام مديونية بطاقة ائتمانية ولا يت:م اصدار مخالصات او كشوف حساب قبل ال:سداد,88,,
التوجة لخدمة العملاء للتحديث :مطلوب: تحديث بيانات العميل,88,,
التوجه لخدمةالعملاء لتحديث البيانات::مطلوب تحديث بيانات العميل,88,,
الحضورللتحديث:مطلوب تحديث بيانات ال:عميل:مطلوب تحديث بيانات العميل,12,,
العميل توفى الى رحمه الله,26,,
العميل حاصل على بطاقة ائتمانية بدون: ضمان,26,25,
العميل حاصل على بطاقة ائتمانية بمبل:غ 5000,26,25,
العميل حاصل على بطاقه ائتمانيهللعميل بريد مرتد,26,25,
العميل حاصل على فيزا بمبلغ 5000جم,21,25,
العميل حاصل على قرض تمويل عقاري,6,32,
العميل ختم وبصمه .. لم يتم اصدار كا:رت,27,18,
العميل لدية خزينة حديدية,26,,
العميل له بطاقة ائتمانية حدها 3000ج:م,26,25,
العميل له بطاقه ائتمانيه بضمان الرا:تب,27,25,
العميل له خزينة حديديةللعميل بريد مرتد,10,,
العميل متخذ ضده اجراءات قانونيه,10,32,
العميل متخذ ضده اجراءات قانونيه وعد:م اصدار شهادات او كشوف حساب او مخال:صات قضائيه نهائيه الا بعد الرجوع لل:اداره العامه للتحصيل والعميل محظور :التعامل معه,10,32,
العميل محول شؤن قانونيه بتاريخ 200:32023,10,32,
العميل محول لشئون قانونيه والرجوع ل:قسم المشروعات,10,32,
العميل محول للشئون القانونية خطاب ر:قم 43 بتاريخ 06072023,9,32,
العميل مصدر له بطاقة ائتمانية بدون :ضمان ويجب الرجوع لخدمة عملاء البطاق:ات قبل إلغاء أو تخفيض الوعاء الادخا:رىللعميل بريد مرتد,30,10,
العميل مصدر له بطاقة ائتمانية ويجب :الرجوع لخدمة عملاء البطاقات قبل الغ:اء وتخفيض الوعاء الادخارى,88,32,
العميل مطلوب فى قسم خدمة العملاء لت:حديث البيانات:مطلوب تحديث بيانات ال:عميل,88,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناته:مطلوب تحديث بيانات العمي:ل:Major customer now,88,8,
العميل مطلوب لقسم خدمه العملاء لتحد:يث البيانات:مطلوب تحديث بيانات العم:يل,88,,
العميــل مطلوب للتحديـــث:مطلوب تحد:يث بيانات العميلللعميل بريد مرتد,26,,
العميل يحمل بطاقه ائتمانيه فرع زفتى:,30,25,
ان العميل صاحب الوعاء الادخارى مصدر: له بطاقه ائتمانيه بدون ضمان و يحب :الرجوع لخدمه العملاءقبل الغاءاوتخفي:ض الوعاء الادخارى,30,32,
برجاء التوجه لقسم خدمة العملاء لاست:يفاء نموذج التوقيع,,,
بريد مرتد32014للعميل بريد مرتد,26,,
بطاقة ائتمان بمبلغ 3000 جم بضمان تح:ويل المرتب,8,25,
بلوغ سن الرشد,10,,
بناء على قرار مجلس الإدارة بجلسته ر:قم 032022 تم اعدام المديونية محاسب:يا مع الاستمرار في الإجراءات القضائ:ية,88,41,
تحديث البيانات,88,,
تحديث بيانات :مطلوب تحديث بيانات ال:عميل,12,,
تم ابلاغ بوفاه العميل من هيئة البري:د,10,,
تم اتخاذ الاجراءات القانونيه ضد الع:ميل بتاريخ 15082023رقم صادر 2175,10,32,
تم اتخاذ الاجراءات القضائية بتاريخ: 122023,41,,
تم اعدام الدين,10,,
تم اعدام الدين محاسبيا و استمرار ال:اجراءات القانونيه وفقا لقرار مجلس ا:لاداره,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 122021 عميل شئون :قانونيه,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذة بتاريخ 122019:,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار في الإجراء:ات القانونية المتخذة وفقا لقرار مجل:س الإدارة بتاريخ 82021,10,41,
تم إعدام المديونية المستحقه على الع:ميل محاسبيامع الإستمرار فى الإجرارا:ت القانونية المتخذة وفقاً لقرار مجل:س الاداره بتاريخ 31102023,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة وفقا لقرار لجن:ة الاصول الخاصه بتاريخ 15122021,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الأجراء:ات القانونيه المتخذه بتاريخ 122020:,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه وفقا لقرار مجلس الادار:ه بتاريخ 31102022,10,41,
تم اعدام المديونيه المستحقه علي الع:ميل محاسبيا مع الاستمرار في الاجراء:ات القانونيه المتخذه بتاريخ 122018:,88,41,
تم التحديث وارسال المستندات للمركزي:ه,10,,
تم التحويل للشئون القانونية و الرجو:ع لقسم المشروعات,30,32,
تم انشاء محفظة قاهرة كاش تجار وفى ح:الة الرغبة بفتح حساب استيفاء نموذج :1 ح ج,16,,
تم تدبير مبلغ 1000 ريال سعودى,10,,
تم عدام المديونيه المستحقه على العم:يل محاسبيا مع الاستمرار في اتخاذ ال:إجراءات القانونيه المتخذه وفقا لقرا:ر مجلس الاداره بتاريخ 31102022,30,41,
تمويل عقارىحال طلب العميل فتح منتج آخر يتعين ع:لى الفرع استيفاء نموذج 1ح.ج جديد .:,41,32,
جارى مدين,26,,
حاصل علي بطاقه ائتمانيه بضمان مرتب,26,25,
حاصل علي بطاقه بضمان مرتب,88,25,
حضور العميل لقسم خدمة العملاء لتحدي:ث البيانات :مطلوب تحديث بيانات العم:يل,,,
خدمه عملا منفلوط ق.ك,27,,
خزن حديديه فرع سبورتنج,41,,
ديون معدومه بتاريخ 20122021,88,,
رقم قومى:مطلوب تحديث بيانات العميل :للعميل بريد مرتد,,,
سلع2015,10,,
عدم استخدام الحساب الشخصى فى المعام:لات التجارية,10,11,23
عدم استخدام الحساب الشخصى فى معاملا:ت تجارية,10,11,23
عدم استخدام الحساب الشخصى فى معاملا:ت تجاريه,12,11,23
عدم التعامل على الحساب لوفاة العميل:,1,,
عدم السحب الا بقرار من النيابة الحز:بية,1,32,
عدم السحب العميل تمويل عقارى,1,32,
عدم السحب تمويل عقاري مع قبول الاي:داع,1,32,
عدم السحب من حساب التويل العقارى,1,32,
عدم السحب نهائيا من حساب تمويل عقار:ى منتج 544,10,32,
عقد تمويل عقاريحال طلب العميل فتح منتج آخر يتعين ع:لى الفرع استيفاء نموذج 1ح.ج جديد .:مع الشكر,1,,
عميل تمويل عقارى برجاء عدم السحب من: الحساب,1,32,
عميل تمويل عقارىعمد السحب,27,32,
عميل خزينة حديدية  فرع الاقبالللعميل بريد مرتد,10,,
عميل قروض صغيره محال شئون قانونيه,1,,
لا يتم السحب الا بقرار من المحكمة,1,32,
لا يتم السحب الا بقرار من المحكمة ا:لحسبية,1,32,
لا يتم الصرف الا بعد الرجوع لقسم ال:مشروعات,12,32,
لعميل متوفى,88,,
للعميل بريد مرتد.:مطلوب تحديث بيانات العميل:مطلوب تح:ديث بيانات العميل:مطلوب تحديث بيانا:ت العميل,8,,
للعميل بريد مرتد:Major customer now,88,,
للعميل بريد مرتد92013:مطلوب تحديث :بيانات العميل,12,,
للعميل بريد مرتداخطار بوفاة العميل :من خلال بيانات الشركة المصرية للاست:علام الائتماني  IScore,12,,
للعميل بريد مرتدالعميل متوفى و تم الإبلاغ عن طريق ا:لايسكور,10,,
للعميل بريد مرتدتم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 082021,88,41,
للعميل بريد مرتدمطلوب تحديث بيانات العميل,12,,
للعميل بريد مرتدوفاه العميل,63,,
مجمد لحين ورود المخالصة الخارجية,26,,
مصدر بطاقة ائتمانية ب 5000جم بضمان :نقدى,88,25,
مطلوب تحديث FATCA,88,,
مطلوب تحديث البياناتللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,88,,
مطلوب تحديث بيانات العميل .للعميل بريدمرتد.,88,,
مطلوب تحديث بيانات العميل بريد مرتد 92014,88,,
مطلوب تحديث بيانات العميل للعميل بريد مرتد:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل,88,,
مطلوب تحديث بيانات العميل للعميل بريدمرتد.,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميل:مطلوب تحديث بيانات: العميل.للعميل بريد مرتد,88,,
مطلوب تحديث بيانات العميل:مطلوب تحد:يث بيانات العميلبريد مرتد,88,,
مطلوب تحديث بيانات العميلالعميل متوفى,88,12,
مطلوب تحديث بيانات العميلبريد مرتد 122013,88,,
مطلوب تحديث بياناتة:مطلوب تحديث بيا:نات العميل,88,,
مطلوب تحديثه للعميل بريد مرتد:مطلوب: تحديث بيانات العميل,88,,
مطلوب للتحديث خ ع:مطلوب تحديث بيانا:ت العميل لبلوغة سن الرشد للاهمية...:.:Major customer now,88,8,
مطلوب للتحديثللعميل بريد مرتد:مطلوب تحديث بيانات: العميل,,,
وثيقة تامين اول مره110000,,,
يحظر التعامل المطلق معه فى أى من من:تجات البنك .,,,
يوجد خزن حديديه,88,,
يوجد كشف حساب مرتد:مطلوب تحديث بيان:ات العميل,,,
.للعيل بريد مرتد.,88,,
Customer has 1 loans so far.:مطلوب :تحديث بيانات العميلتم منح العميل محفظة قاهرة كاش تجار :فى حالة رغبة العميل بفتح حساب يتم أ:ستيفاء نموذج 1 ح ج,12,,
death,10,,
اتخاذ الاجراءات القضائية ضد العميل,12,,
اخطار بوفاة العميل من خلال الشركة :المصرية للاستعلام الائتمانى       :,12,,
اخطار بوفاة العميل من خلال بيا:نات الشركة المصرية للاستعلام الائتم:اني  IScore,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتمانى,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني I:Sc,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشركه المصرية للاستعلام الائتمانى I: Score,12,,
اخطار بوفاة العميل من خلال بيانات ا:لشيركة المصرية للاساتعلام الائتمانى: Iscore,12,,
اخطار بوفاه العميل من خلال بيانات ا:لشركه المصريه للاستعلام الائتمانى I:saore,,,
اصدار بطاقة بضمان الراتب بمبلغ1000ج:م,41,,
اعدام مديونيه دون ابراء زمه قرارمجل:س اداره 31102022,88,,
الرجوع لقسم المراجعةلاستلام كشوف ال:حساب:مطلوب تحديث بيانات العميل,88,,
الرقم قومى:مطلوب تحديث بيانات العمي:ل,41,,
العميل حاصل على شهاده بالمديونيه,10,,
العميل شئون قانونية تم إعدام المديونية المستحقة على ا:لعميل محاسبيا مع الأستمرار فى الأجر:اءات القانونية المتخذة وفقا لقرار م:جلس الادارة بتاريخ 31102022,88,41,
العميل له كشف حساب مرتد:مطلوب تحديث: بيانات العميل,88,,
العميل مطلوب تحديثه:مطلوب تحديث بيا:نات العميلللعميل بريد مرتد,88,,
العميل مطلوب لتحديث خدمةالعملاء:مطل:وب تحديث بيانات العميل,88,,
العميل مطلوب لخدمة العملاء لتحديث ب:ياناته:مطلوب تحديث بيانات العميل,88,,
العميل مطلوب لخدمه العملاء للتحديث ::مطلوب تحديث بيانات العميل,,,
العميل مطلوب لقسم خدمة العملاء لتحد:يث بياناتهللعميل بريد مرتد,88,,
العميل مطلوب لقسم خدمة العملاءلتحديث البيانات:مطلوب تحديث بيانات :العميل,88,,
العميل مطلوب للتحديث:مطلوب تحديث بي:انات العميلللعميل بريد مرتد,41,,
العميل معدم محاسيبا وفقا لقرار مجلس: الاداره لسنه 2021 مع الاستمرار في :الاجراءات القضائيه,12,10,
العميل وفاه,10,,
تم اتخاذ اجراءات قضائيه فى 202022:,10,,
تم اعدام الدين طبقا لقرار مجلس الاد:ارة رقم 92020 بتاريخ 25112020 ال:استمرار فى الاجراءات القانونية حظر :التعامل مع عدم اصار اى مخالصات او ش:هادات او تنازل عن اجراءات قانو,41,41,
تم اعدام الدين محاسبيا قرار مجلس لا:دارة رقم 92020,10,,
تم اعدام الدين محاسبيا مع الاستمرار: في الاجراءات القانونيه المتخذه وفق:ا لقرارات مجلس الاداره,10,41,
تم اعدام القرض فى28012014 طبقا لق:رار مجلس الادارة112014العميل متخذ: ضدة اجراءات قانونيةعدم اصداراى مخ:الصات اوالتنازل عن الاجراءات القضائ:ية نهائيا الا بعدالرجوع للاد,10,,
تم إعدام المديونية المستحقة على ال:عميل محاسبيا مع الأستمرار فى الأجرا:ءات القانونية المتخذة وفقا لقرار مج:لس الادارة بتاريخ 31102022,10,41,
تم اعدام المديونية المستحقة على الع:ميل بتاريخ 12018 مع الاستمرار فى ا:لاجراءات القانونية,10,41,
تم اعدام المديونية المستحقة على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذة  جلسة 92020 :بتاريخ 30112020,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102022عدم اصدار كشوف حساب او مخالصات او,10,41,
تم إعدام المديونية المستحقة على الع:ميل محاسبيا مع الأستمرار فى الأجراء:ات القانونية المتخذة وفقا لقرار مجل:س الادارة بتاريخ 31102022ولا يتم طباعه كشوف حساب لهم   ولا :,10,41,
تم اعدام المديونية المستحقة محاسبيا: مع الاستمرار في الإجراءات القانوني:ة المتخذة وفقا لقرار مجلس الاداره ب:تاريخ 122020,10,41,
تم اعدام المديونية المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونية المتخذه وفقا لقرار مجل:س الادارة بتاريخ 122019,10,41,
تم اعدام المديونية والاجراءات القضائيه مازلت قائمه بتا:ريخ 122019,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقاً لقرار مج:لس الادارة بتاريخ 082021,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار فى الاجراء:ات القانونيه المتخذه وفقا لقرار مجل:س الاداره بتاريخ 20221031,10,41,
تم اعدام المديونيه المستحقه على الع:ميل محاسبيا مع الاستمرار في الاجراء:ات القانونيه المتخذه بتاريخ 122020:,10,41,
تم اعدام المديونيه المستحقه محاسبيا: مع الاستمرار ف الاجراءات القانونيه: المتخذة بتاريخ 082021,88,41,
تم تحديث البيانات وارسال المستندات :للمركزيه,,,
تم فتح محفظه قاهرة كاش تجار في حالة: رغبه العميل فتح حساب يتم استيفاء ن:موذج  1 ح ج,,,
تم منح العميل محفظه القاهره كاش تجا:ر في حاله رغبه العميل فتح حساب يلزم: استيفاء نمو1ذج 1 ح ج,26,,
حاصل علي بطاقه ائتمانيه,,,
حساب توفير دولار بدون دفترللعميل بريد مرتد,,,
حمله الشمول المالى  داخل الفرع,88,,
خصم ش بالجم من ح الدولار فى حالة عد:م كفاية الرصيد ج:مطلوب تحديث بيانات: العميل,41,,
ديون معدومه بتاريخ 5122022,10,,
عدم أصدار كشوف حساب نهائيا للعميل  :و عدم أصدار مخالصات أو شهادة أبراء :ذمه أو التنازل عن الاجراءات القضائي:ه ألا بعد الرجوع للاداره العامه للت:حصيل ومعالجة ديون التج,1,,
عدم السحب الا بقرار النيابة الحسبية:,1,32,
عدم السحب الابعد سداد تجاوز منتج 67:9,1,32,
عدم السحب الابقرار من النيابه الحسب:يه,88,32,
عدم السحب لبلوغ سن الرشد:مطلوب تحدي:ث بيانات العميل:مطلوب تحديث بيانات :العميل:مطلوب تحديث بيانات العميل,1,8,1
عدم السحب من التمويل العقارى,1,32,
عدم السحب من الحساب دفعه مقدمه تموي:ل عقارى.,1,32,
عدم السحب من حساب التمويل العقارىمع امكانيه الايداع,1,32,
عدم السحب نموييل عقارى,,32,
عدم الغلق شهادات قناه السويس,41,,
عدم ايقاف تحويل المرتب الا بعد سداد: الجارى مدين,,,
عدم فك التجميد مقابل ايجار خزينة حد:يدية فرع شبرا,10,,
عدم منح أي تسهيلات ائتمانية والرجوع: لإدارة مخاطر الاحتيال والتزوير لأي: استفسارات,41,99,
عملاء معدوم مديونتهم حسابيا دون ابر:اء ذمه ماليه .,,,
عميل تركات,,,
عميل حاصل على ق.ش شهادات فرع شبرا و:اجمالى عائد الشهادات يغطى قيمة القس:ط,41,,
عميل ديون معدومة,,,
عميل فرع سموحه خزن حديديه,1,,
عميل قاصر لا يتم السحب الا بقرار من: النيابه الحسبيه,,32,
عميل متعثر عدم  التعامل على الحساب :الا بعد الرجوع الى اداره التحصيل,41,,
لا يتم اصدار مخالصات او ابراء ذمه ل:هذه المديونيات المعدومه الا بعد تما:م السداد,1,,
لا يتم الصرف الا باذن من النيابة ال:حسبية,88,32,
لا يتم الصرف لى بموافقة مدير الفرع :شخصين تحديث بيانات معاشات,,1,32
لةكشف حساب مرتد,,,
للعميل بريد,,,
للعميل بريد مربد,12,,
للعميل بريد مرتد   اخطار بوفاة الع:ميل من خلال بيانات الشركة المصرية ل:لاستعلام الائتماني  IScore,,,
للعميل بريد مرتد 062014للعميل بريد مرتد,,,
للعميل بريد مرتد تم استيفاء شهاد ال:ميلاد,88,,
للعميل بريد مرتد.:مطلوب تحديث بيانا:ت العميل:مطلوب تحديث بيانات العميل::مطلوب تحديث بيانات العميلللعميل بريد مرتد,12,,
للعميل بريد مرتد.اخطار بوفاة العميل من خلال بيانات ا:لشركة المصرية للاستعلام الائتماني  :IScore,12,,
للعميل بريد مرتدالعميل متوفى و تم الابلاغ عن طريق ا:لايسكور,12,,
للعميل بريد مرتدالعميل متوقى تم الالبلاغ عن طريق IS:CORE,12,,
للعميل بريد مرتدخطار بوفاة العميل من خلال بيانات ال:شركة المصرية للاستعلام الائتماني  I:Score,,,
لم يتم اصدار كارت ATM العميل حاصل :على ختم وبصمه,10,,
متخذ ضده اجراءات قضائية بتاريخ 161:12020,,,
محال شئون قانونيه,,,
محفظة قاهرة كاش,,,
مستندات العميل بالشئون القانونية ول:م يتم شطب الدعوى,88,,
مطلوب تحديث البيانات اخطار بوفاة ال:عميل من خلال بيانات الشركه المصريه :للاستعلام الإئتماني IScore,88,12,
